,Author ID,Paper_ID,Author_x,Affiliation,Affiliation Type,Author Last Name,Year,DOI,Author_y,AuthorOrder,AuthorOrderRank,CareerAge,CumPaper
1416,37367862600,745288,xin wang,"Department of Electrical and Computer Engineering and CAIP Center, Rutgers University, Piscataway, NJ, USA",Academic Institution,wang,,,,,,,
1417,37281400600,745290,c.-k. tang,"University of Southern California, USA",Academic Institution,tang,1998.0,10.1109/VISUAL.1998.745290,chi-keung tang,1.0,First,4.0,1.0
1418,37280043300,745290,gã©rard medioni,"Institute for Robotics and Intelligent Systems, University of Southern California, Los Angeles, USA",Academic Institution,medioni,1998.0,10.1109/VISUAL.1998.745290,gérard g. medioni,2.0,Last,18.0,3.0
1419,37372012600,745291,yingmei lavin,"Department of Physics, University of Stanford, Stanford, CA, USA",Academic Institution,lavin,1998.0,10.1109/VISUAL.1998.745291,yingmei lavin,1.0,First,2.0,2.0
1420,37282555600,745291,rajesh batra,"Department of Aeronautics and Astronautics, University of Stanford, Stanford, CA, USA",Academic Institution,batra,1998.0,10.1109/VISUAL.1998.745291,rajesh batra,2.0,Middle,1.0,1.0
1421,37274095200,745291,lambertus hesselink,"Department of Electrical Engineering, University of Stanford, Stanford, CA, USA",Academic Institution,hesselink,1998.0,10.1109/VISUAL.1998.745291,lambertus hesselink,3.0,Last,10.0,7.0
1422,37298406100,745292,christopher g. healey,"North Carolina State University, University of British Columbia, USA",Academic Institution,healey,1998.0,10.1109/VISUAL.1998.745292,christopher g. healey,1.0,First,4.0,3.0
1423,37372253300,745292,james t. enns,"North Carolina State University, University of British Columbia, USA",Academic Institution,enns,1998.0,10.1109/VISUAL.1998.745292,james t. enns,2.0,Last,4.0,1.0
1424,37275999300,745295,x. mao,"Department of Computer and Media Engineering, Yamanashi University, Kofu, Yamanashi, Japan",Academic Institution,mao,1998.0,10.1109/VISUAL.1998.745295,xiaoyang mao,1.0,First,13.0,3.0
1425,37361235200,745295,yuji hatanaka,"Department of Computer and Media Engineering, Yamanashi University, Kofu, Yamanashi, Japan",Academic Institution,hatanaka,1998.0,10.1109/VISUAL.1998.745295,yuji hatanaka,2.0,Middle,1.0,1.0
1426,37372000800,745295,hidenori higashida,"Department of Computer and Media Engineering, Yamanashi University, Kofu, Yamanashi, Japan",Academic Institution,higashida,1998.0,10.1109/VISUAL.1998.745295,hidenori higashida,3.0,Middle,1.0,1.0
1427,37272095800,745295,atsumi imamiya,"Department of Computer and Media Engineering, Yamanashi University, Kofu, Yamanashi, Japan",Academic Institution,imamiya,1998.0,10.1109/VISUAL.1998.745295,atsumi imamiya,4.0,Last,2.0,1.0
1428,37359801600,745293,henrik weimer,"Department of Computer Science, Rice University, Houston, TX, USA",Academic Institution,weimer,1998.0,10.1109/VISUAL.1998.745293,henrik weimer,1.0,First,5.0,1.0
1429,37272377400,745293,joe warren,"Department of Computer Science, Rice University, Houston, TX, USA",Academic Institution,warren,1998.0,10.1109/VISUAL.1998.745293,joe d. warren,2.0,Middle,16.0,1.0
1430,37372002000,745293,jane troutner,"Western Geophysical, Houston, TX, USA",Private Corporation,troutner,1998.0,10.1109/VISUAL.1998.745293,jane troutner,3.0,Middle,1.0,1.0
1431,37372001300,745293,wendell wiggins,"Western Geophysical, Houston, TX, USA",Private Corporation,wiggins,1998.0,10.1109/VISUAL.1998.745293,wendell wiggins,4.0,Middle,1.0,1.0
1432,37371998300,745293,john shrout,"Western Geophysical, Houston, TX, USA",Private Corporation,shrout,1998.0,10.1109/VISUAL.1998.745293,john shrout,5.0,Last,1.0,1.0
1433,37365755100,745296,martin roth,"ETH Zurich, Swiss Center for Scientific Computing, Switzerland",Private Corporation,roth,1998.0,10.1109/VISUAL.1998.745296,martin roth,1.0,First,3.0,2.0
1434,37282541100,745296,ronald peikert,"ETH Zurich, Swiss Center for Scientific Computing, Switzerland",Private Corporation,peikert,1998.0,10.1109/VISUAL.1998.745296,ronald peikert,2.0,Last,12.0,2.0
1435,37275712600,745294,david h laidlaw,"California Institute of Technology, Pasadena, CA, USA",Academic Institution,laidlaw,1998.0,10.1109/VISUAL.1998.745294,david h. laidlaw,1.0,First,13.0,1.0
1436,37359190700,745294,eric ahrens,"California Institute of Technology, Pasadena, CA, USA",Academic Institution,ahrens,1998.0,10.1109/VISUAL.1998.745294,eric t. ahrens,2.0,Middle,1.0,1.0
1437,37371978600,745294,david kremers,"California Institute of Technology, Pasadena, CA, USA",Academic Institution,kremers,1998.0,10.1109/VISUAL.1998.745294,david kremers,3.0,Middle,1.0,1.0
1438,37371978400,745294,m.j. avalos,"California Institute of Technology, Pasadena, CA, USA",Academic Institution,avalos,1998.0,10.1109/VISUAL.1998.745294,matthew j. avalos,4.0,Middle,1.0,1.0
1439,37368212100,745294,r.e. jacobs,"California Institute of Technology, Pasadena, CA, USA",Academic Institution,jacobs,1998.0,10.1109/VISUAL.1998.745294,russell e. jacobs,5.0,Middle,9.0,1.0
1440,37371977900,745294,c. readhead,"Cedars Sinai Medical Center, Los Angeles, CA, USA",Private Corporation,readhead,1998.0,10.1109/VISUAL.1998.745294,carol readhead,6.0,Last,1.0,1.0
1441,37355295400,745297,david n. kenwright,"NASA Ames Research Center, Moffett Field, CA, USA",Private Corporation,kenwright,1998.0,10.1109/VISUAL.1998.745297,david n. kenwright,1.0,First,7.0,5.0
1442,37366741500,745298,h.-w. shen,"MRJ Technology Solutions, Moffett Field, CA, USA",Private Corporation,shen,1998.0,10.1109/VISUAL.1998.745298,han-wei shen,1.0,First,5.0,5.0
1443,37362725400,745299,yi-jen chiang,"Polytechnic University, USA",Academic Institution,chiang,1998.0,10.1109/VISUAL.1998.745299,yi-jen chiang,1.0,First,8.0,2.0
1444,37275249200,745299,claudio t. silva,"IBM Thomas J. Watson Research Center, USA",Private Corporation,silva,1998.0,10.1109/VISUAL.1998.745299,cláudio t. silva,2.0,Middle,5.0,6.0
1445,37282730100,745299,william j. schroeder,Kitware Inc.orporate,Private Corporation,schroeder,1998.0,10.1109/VISUAL.1998.745299,william j. schroeder,3.0,Last,8.0,7.0
1446,37282553200,745300,yarden livnat,"University of Utah, USA",Academic Institution,livnat,1998.0,10.1109/VISUAL.1998.745300,yarden livnat,1.0,First,3.0,4.0
1447,37266777200,745300,charles hansen,"University of Utah, USA",Academic Institution,hansen,1998.0,10.1109/VISUAL.1998.745300,charles d. hansen,2.0,Last,12.0,5.0
1448,37283138700,745301,daniel a. keim,"Institute for Computer Science, University of Halle-Wittenberg, Halle, Germany",Academic Institution,keim,1998.0,10.1109/VISUAL.1998.745301,daniel a. keim,1.0,First,8.0,5.0
1449,37372264500,745301,annemarie herrmann,"Institute for Computer Science, University of Halle-Wittenberg, Halle, Germany",Academic Institution,herrmann,1998.0,10.1109/VISUAL.1998.745301,annemarie herrmann,2.0,Last,1.0,1.0
1450,38258364700,745302,n. e. miller,"Pacific Northwest Lab., Richland, WA, USA",Private Corporation,miller,,,,,,,
1451,38258125600,745302,m. brewster,"Los Alamos National Laboratory, USA",Private Corporation,brewster,,,,,,,
1452,37284216700,745303,donald h house,"Visualization Lab., Texas A&M Univ., College Station, TX, USA",Academic Institution,house,1998.0,10.1109/VISUAL.1998.745303,donald h. house,1.0,First,7.0,1.0
1453,37372172300,745303,christopher j kocmoud,"Texas Engineering Experiment Station, College Station, TX, USA",Private Corporation,kocmoud,1998.0,10.1109/VISUAL.1998.745303,christopher j. kocmoud,2.0,Last,1.0,1.0
1454,37371920800,745304,k. kremer,"Heinz Nixdorf Inst., Paderborn Univ., Germany",Academic Institution,kremer,1998.0,10.1109/VISUAL.1998.745304,klaus kremer,1.0,First,1.0,1.0
1455,37282602100,745306,kay a. robins,"Division of Computer Science, University of Texas, San Antonio, San Antonio, TX, USA",Academic Institution,robins,,,,,,,
