Top VISPub Authors,Year,Supervisee,Reference
daniel a. keim,2018,geoffrey ellis,https://www.vis.uni-konstanz.de/mitglieder/ellis/
daniel a. keim,2017,bum chul kwon,https://www.bckwon.com/
daniel a. keim,2012,enrico bertini,http://enrico.bertini.io/publications
daniel weiskopf,2021,moataz abdelaal,https://www.visus.uni-stuttgart.de/en/institute/team/Abdelaal-00001/
daniel weiskopf,2018,matthias braun,https://www.visus.uni-stuttgart.de/en/institute/team/Braun-00007/
daniel weiskopf,2021,david hägele,https://www.visus.uni-stuttgart.de/en/institute/team/Haegele-00001/
daniel weiskopf,2020,maurice koch,https://www.visus.uni-stuttgart.de/en/institute/team/Koch-00016/
daniel weiskopf,2017,kuno kurzhals,https://www.visus.uni-stuttgart.de/en/institute/team/Kurzhals/
daniel weiskopf,2021,tanja munz-körner,https://www.visus.uni-stuttgart.de/en/institute/team/Munz-Koerner/
daniel weiskopf,2020,nils rodrigues,https://www.visus.uni-stuttgart.de/en/institute/team/Rodrigues/
daniel weiskopf,2021,christoph schulz,https://www.visus.uni-stuttgart.de/en/institute/team/Schulz-00019/
valerio pascucci,2011,ming jiang,https://people.llnl.gov/jiang4
valerio pascucci,2007,ajith mascarenhas,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,2007,janine bennett,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,2007,attila gyulassy,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,2007,peer-timo bremer,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,2004,rita borgo ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,2007,steven callahan ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,min chen ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,2004,kree cole-mclaughlin ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,2007,scott dillard ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,2006,dmitriy morozov ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,amit patel ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,anna majkowska ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,vijay natarajan ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,issam safa ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,carlos scheidegger ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,alexander sherman ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,john schreiner ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,shantanu singh ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,huy vo,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,kenneth weiss ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,w. taylor holliday ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,jonathan strasser ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,valerie szudziejka ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
valerio pascucci,,garrett a. aldrich ,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
jarke j. van wijk,,,
han-wei shen,,,
david s. ebert,,,
wei chen 0001,,,
helwig hauser,,,
klaus mueller,,,
john t. stasko,,,
bernd hamann,,,
gerik scheuermann,,,
yingcai wu,,,
